Strain	Source	Country	Province	City	Latitude	Longitude	Day	Month	Year	TP1	TP2
Switzerland/GE-33176762/2021	Cow_Farm	Switzerland	Geneva	0	46.2038116	6.1399651	4	2	2021	0	1
Iceland/3301/2020	Cow_Farm	Iceland	Reykjavik	0	64.1472092	-21.9424	18	9	2020	1	1
Switzerland/VD-GEN2585/2021	Cow_Farm	Switzerland	Vaud	0	46.657185	6.505449	11	1	2021	0	1
Scotland/QEUH-A22217/2020	Cow_Farm	United Kingdom	Scotland	0	55.9501953	-3.1875629	1	10	2020	1	1
Spain/PV-IBV-97011438/2020	Cow_Farm	Spain	Basque Country	San Sebastian	43.0430984	-2.6168649	7	12	2020	0	1
Wales/PHWC-48646C/2020	Cow_Farm	United Kingdom	Wales	0	51.481308	-3.1804979	14	10	2020	1	1
Italy/CAM-TIGEM-4279/2021	Cow_Farm	Italy	Campania	0	40.8605804	14.8440666	1	1	2021	0	1
Wales/PHWC-4C7414/2021	Cow_Farm	United Kingdom	Wales	0	51.481308	-3.1804979	3	2	2021	0	1
Switzerland/ZH-ETHZ-270047/2020	Cow_Farm	Switzerland	Z<fc>rich	0	47.3670006	8.5500002	1	9	2020	1	1
Wales/ALDP-C3913C/2020	Cow_Farm	United Kingdom	Wales	0	51.481308	-3.1804979	9	12	2020	0	1
Germany/TH-RKI-I-015617/2021	Cow_Farm	Germany	Thuringia	0	50.9037933	11.0247221	27	1	2021	0	1
Netherlands/UT-RIVM-21427/2020	Cow_Farm	Netherlands	Utrecht	0	52.0916824	5.1203632	27	12	2020	0	1
Switzerland/BL-ETHZ-450162/2021	Cow_Farm	Switzerland	Basel-Land	0	47.501203	7.715625	12	1	2021	0	1
Sweden/SE00217109/2021	Cow_Farm	Sweden	Gavleborgs Lan	0	61.4492455	16.2890415	4	2	2021	0	1
Sweden/21-50669/2021	Cow_Farm	Sweden	Halland	0	56.75	13	25	1	2021	0	1
Scotland/QEUH-C33509/2020	Cow_Farm	United Kingdom	Scotland	0	55.9501953	-3.1875629	11	12	2020	0	1
